ID,category,launched
1054411199,Software,2015-08-14 21:52:40
1054595446,3D Printing,2017-03-21 17:20:36
1055382880,Software,2015-09-08 17:46:45
1055820618,Robots,2012-06-29 19:03:33
1055925159,3D Printing,2016-08-31 18:01:18
1056533885,Software,2016-03-29 03:24:54
105727920,Software,2016-02-16 17:40:34
1058755192,Software,2015-12-02 19:31:46
1059577959,Software,2015-10-15 18:25:30
106000580,Software,2012-09-06 00:10:31
1060876801,Software,2016-04-20 22:16:10
1060904411,3D Printing,2014-10-06 18:43:30
1061827087,3D Printing,2016-06-22 09:01:41
1062224115,Software,2017-11-06 17:00:58
1062250235,Software,2014-12-05 13:07:58
1062466302,Software,2014-08-09 11:20:38
1063015149,Software,2016-12-02 12:00:05
1064076036,Software,2013-09-10 16:30:46
1064501733,Software,2017-07-07 01:19:40
1064608511,Robots,2015-11-02 15:35:04
1064645446,Software,2015-12-07 17:30:51
10647375,Software,2016-02-29 21:19:10
1065015889,Software,2013-12-13 00:46:11
106518075,3D Printing,2016-01-04 23:36:20
1065532782,Robots,2015-09-14 21:43:11
1067082726,Software,2014-08-08 11:53:35
1067405399,Software,2010-09-26 20:50:06
1067605225,Software,2016-03-02 18:14:36
1068100249,3D Printing,2017-11-14 17:12:42
1068646400,Software,2015-09-24 22:29:44
1068768242,Software,2014-10-20 21:04:51
1068860248,Software,2016-09-30 07:31:37
1068910383,Software,2015-08-25 19:02:12
1069013929,Software,2015-06-09 23:49:18
106973205,Software,2014-01-21 19:58:38
1071084768,Software,2016-09-21 19:38:34
1071114248,3D Printing,2014-07-29 18:03:16
1071476061,Software,2016-06-20 07:40:02
1072491780,Software,2015-04-13 21:57:19
1072928801,3D Printing,2017-07-18 17:24:42
1073364911,Software,2014-08-08 23:44:15
1074058555,Robots,2014-11-02 05:05:02
1074117322,Software,2014-07-12 15:30:38
107414100,Software,2013-04-09 04:53:04
1074571060,Software,2015-03-31 22:30:44
1074605639,Software,2015-09-09 00:54:24
1075881137,Software,2017-01-20 17:40:52
1076181419,3D Printing,2014-11-05 15:10:53
1076633412,Robots,2015-03-17 11:01:12
1076997058,3D Printing,2015-10-19 22:39:24
1077098549,Software,2010-05-16 16:16:47
1077135108,Robots,2014-12-23 03:45:04
1077234436,Software,2015-04-22 16:25:46
1077579354,Software,2016-08-30 21:19:14
1077965790,Software,2014-09-17 06:36:36
1077978843,Robots,2015-04-04 21:31:08
1078592448,Software,2017-06-20 01:57:28
1078718246,3D Printing,2015-02-12 11:24:25
1079741394,Software,2016-01-19 17:19:44
1080257212,Software,2013-12-03 20:59:58
1080422968,Robots,2014-08-07 00:51:19
108085436,Software,2014-11-18 04:39:12
1080994754,Software,2014-05-04 21:15:31
1082408443,Software,2015-09-03 17:50:38
1082536520,Software,2017-09-04 14:25:00
1082990328,Software,2014-10-04 07:34:47
1083842334,Software,2014-08-12 17:52:25
1083922214,Software,2015-09-21 21:12:37
1084869397,Software,2009-10-07 17:30:34
1084921542,Software,2013-03-22 15:00:23
1085150890,Software,2015-02-17 22:07:37
1085613855,Software,2017-05-19 18:18:20
1087111072,Software,2016-05-03 18:35:00
1087368269,Software,2017-06-15 09:07:48
1088566443,Software,2015-09-03 15:36:40
1089470012,Software,2017-03-06 17:23:03
1090035220,Software,2015-03-31 09:47:04
1090275452,Software,2015-06-10 18:48:35
1090347300,Software,2016-04-11 09:06:20
1090412111,Software,2014-07-18 00:22:04
109042333,3D Printing,2014-03-14 16:00:54
1090840166,Software,2014-09-11 06:07:01
1090932485,Software,2010-10-15 14:31:30
1091091440,Robots,2017-04-03 22:44:29
1091954859,Software,2017-06-09 07:19:09
109339514,Software,2010-08-12 09:03:08
1093774966,Software,2009-09-15 03:27:16
1094371609,Software,2016-04-15 21:48:33
1094471635,Software,2016-10-01 20:40:48
1094571910,Software,2014-02-15 03:15:00
1094632835,Software,2014-11-21 20:00:14
1094646417,Software,2016-03-13 11:27:48
1094832512,Software,2013-12-13 16:07:34
109501585,Software,2016-08-08 17:56:58
1095234464,Software,2014-07-29 21:16:10
1095756934,Software,2009-07-22 06:30:55
1096640319,Software,2017-06-17 22:17:28
109691394,Software,2015-02-25 01:29:29
109717329,3D Printing,2015-08-19 05:52:13
1097258261,Software,2010-05-11 22:53:27
1097280206,Software,2012-10-22 23:40:16
1097555689,Software,2012-04-10 22:14:48
1097845449,3D Printing,2017-09-10 12:44:50
1098491,Software,2016-07-21 21:37:31
1098886769,Software,2017-11-21 18:10:35
1099576149,Software,2014-04-14 06:58:11
1099715303,Robots,2015-05-14 20:29:29
1100456710,Software,2015-04-09 20:46:42
1101209748,3D Printing,2016-02-25 19:01:01
1101971124,Software,2015-08-04 21:51:53
1102085869,Software,2016-05-09 04:09:47
1102274358,Software,2015-10-23 21:23:12
1102472800,Software,2017-02-22 16:24:19
1102818037,Software,2014-08-09 00:12:35
1103025038,Software,2016-02-05 17:13:50
1104479237,Software,2017-05-01 18:20:06
1105031010,Software,2016-12-24 13:37:04
1105235120,Software,2015-05-15 00:13:05
1105419400,Software,2016-10-14 21:14:50
1105480028,3D Printing,2015-08-24 10:40:27
1105615263,Robots,2017-04-26 21:47:07
1105709240,3D Printing,2016-11-15 23:21:16
110589240,Software,2016-02-05 01:03:17
1105917828,Robots,2017-10-13 15:30:18
110629129,Software,2015-07-24 20:11:15
1107302006,Robots,2015-09-15 13:19:16
1107394543,Software,2015-04-08 21:04:14
1108338144,Software,2014-10-23 18:25:53
1108790992,3D Printing,2015-01-28 03:53:10
1110261257,Software,2016-05-15 09:15:59
111086848,Robots,2015-02-24 12:58:34
1110898739,Software,2014-11-18 17:51:50
1110939959,Robots,2014-06-25 18:00:03
1111624486,Software,2014-08-01 14:00:57
111201574,3D Printing,2017-01-11 10:15:27
1112723391,3D Printing,2015-12-05 06:05:30
111350551,Software,2016-03-09 18:31:47
1114042762,Software,2017-10-16 23:51:09
1114532884,Software,2017-11-28 05:03:34
1114926852,3D Printing,2016-11-15 02:14:10
1117174330,Robots,2015-07-30 15:26:46
1117362648,3D Printing,2017-09-26 16:00:17
1118204694,Robots,2016-07-05 22:51:08
1118249977,Software,2014-09-30 23:54:24
1118484356,3D Printing,2017-04-03 21:54:40
1118563825,3D Printing,2015-10-20 04:50:25
1119061165,3D Printing,2017-06-10 08:19:37
1119164126,Software,2014-06-21 01:49:28
1120264179,Software,2015-09-11 10:34:54
1121175982,Software,2016-10-24 23:00:45
1121392238,Robots,2014-11-24 20:41:31
1121481841,Software,2011-05-20 14:07:08
1121787309,3D Printing,2017-03-29 05:59:23
1122704554,3D Printing,2013-09-18 07:04:24
1123073636,Software,2016-02-01 21:22:56
1123622119,Software,2017-07-05 00:26:15
1123861916,Software,2015-05-25 19:53:26
1124217107,Software,2016-08-23 09:02:38
1124270675,Software,2016-11-08 09:57:51
112454727,Software,2016-11-14 18:39:44
1125326552,Robots,2013-01-14 13:38:57
1125550231,Software,2017-05-15 21:44:00
1125702153,3D Printing,2015-03-30 22:42:23
1125775907,3D Printing,2015-07-09 18:57:28
1126645404,Software,2013-12-03 00:23:26
1126702203,3D Printing,2016-12-22 15:35:37
1126834968,3D Printing,2013-08-01 10:02:15
1127184988,Software,2013-11-19 13:01:00
1127976394,Software,2014-04-08 18:54:42
1127991327,Software,2012-01-02 00:00:49
1129028326,Software,2014-10-08 20:20:19
1129142727,Software,2015-05-31 01:08:14
1129331423,3D Printing,2017-10-25 10:50:23
1130223171,Software,2015-01-26 18:42:20
1130892086,Software,2012-09-05 05:13:54
1132136352,Software,2014-03-21 22:38:14
1132660589,Software,2015-12-03 01:48:59
1132665955,Software,2014-07-01 19:10:47
1133689332,Software,2015-04-06 02:48:58
1133766288,3D Printing,2014-03-26 16:00:27
1134229511,Software,2015-11-17 21:59:28
1134791621,Software,2016-09-09 00:32:03
1134844171,Software,2016-02-08 09:15:05
1135459316,Robots,2014-07-01 09:35:21
1135991236,Software,2016-06-04 01:20:05
1136657758,Robots,2016-01-19 09:40:34
1136852001,3D Printing,2016-01-08 02:03:03
1136996916,Software,2017-06-01 21:44:17
1137182123,Software,2013-09-13 18:49:05
1137626463,3D Printing,2016-09-25 20:30:02
1138664613,Software,2017-04-12 22:05:31
1138732610,Software,2016-08-26 16:10:04
113876924,Software,2011-07-13 03:23:20
1139112742,Software,2012-04-20 01:00:27
1139759774,Software,2015-02-24 22:38:49
1139958184,Software,2015-11-04 18:37:26
1140219632,Software,2015-01-28 00:57:47
1140556215,Software,2014-07-07 21:27:17
1140653504,Software,2016-03-01 21:01:07
1141610084,Software,2014-09-29 21:10:17
1142176195,3D Printing,2015-03-07 01:22:25
1142707526,Software,2015-11-16 09:01:59
1144105068,3D Printing,2017-02-10 22:13:49
1144289253,Software,2013-02-08 08:47:48
1145083864,Software,2012-10-22 20:29:32
114566931,Software,2015-04-29 16:42:29
114673600,Software,2016-04-14 14:14:20
1146808716,Robots,2012-11-02 19:24:49
1146892921,Software,2012-01-20 21:03:02
1147169179,Software,2015-12-30 03:57:02
1147242623,Software,2015-04-07 01:18:20
1147875027,Software,2017-10-03 17:25:48
1149005381,3D Printing,2016-08-31 17:32:57
114915140,Software,2014-03-27 04:54:54
1149171903,Software,2017-10-02 12:55:53
1152753063,Robots,2016-05-09 23:01:49
1152998735,Software,2015-11-03 15:28:09
1154208000,Software,2015-01-03 16:42:23
1154288719,Software,2013-06-05 23:28:34
1154805537,Software,2017-01-08 13:15:04
1155036445,3D Printing,2014-08-26 22:40:27
1155611679,3D Printing,2015-03-12 20:31:48
1155922475,3D Printing,2014-10-02 14:00:23
1156752869,Software,2015-08-19 20:18:06
115680805,Software,2017-02-26 23:42:45
1157717849,Software,2012-01-01 16:53:44
1158254635,3D Printing,2017-07-06 18:59:47
1158400545,3D Printing,2014-08-28 23:27:31
1158474111,3D Printing,2015-04-03 01:02:15
1158567339,Robots,2017-12-14 13:07:01
1159273979,3D Printing,2015-03-20 06:19:21
1159487566,3D Printing,2014-07-06 00:21:31
1159762941,Software,2015-05-18 05:49:11
1160231603,Software,2014-07-21 03:12:26
1160887961,Software,2016-10-21 14:25:56
1161427056,Software,2013-07-23 16:05:54
1161605842,3D Printing,2015-03-12 03:33:03
1161798809,Robots,2016-08-18 19:41:00
1162190444,Software,2017-10-11 19:38:07
1162201824,3D Printing,2015-03-14 21:10:21
1162718219,Software,2009-06-03 11:47:51
1162941174,Robots,2015-03-28 00:30:48
1162971337,Software,2015-05-11 09:54:52
1163017662,Software,2014-12-06 09:45:26
1163070662,Software,2014-09-04 18:54:07
1164135271,Software,2014-05-24 07:58:05
1164251401,Software,2016-05-18 22:50:35
1165048547,Software,2017-04-21 08:25:32
1165759831,Software,2016-10-14 20:59:36
1166907638,Robots,2016-07-22 13:15:39
1167189337,3D Printing,2017-03-27 20:38:47
1167215663,Software,2015-08-28 07:13:24
1167806817,Software,2013-08-24 20:23:18
